artigoEmPeriodico	2010		Fotojornalismo e política: o universo político nas revistas O Cruzeiro e Manchete nos anos JK	Primeiros Escritos	BIZELLO, Maria Leandra	Qualis nao identificado	Primeiros Escritos
artigoEmPeriodico	2010		Archivo y memoria de negros	Ibersid (Zaragoza)	BIZELLO, Maria Leandra; FERREIRA, Letícia E.	Qualis nao identificado	Ibersid (Zaragoza)
artigoEmPeriodico	2010		Fontes de informação na área de direito - resenha	Revista ACB (Florianópolis)	Blattmann, Ursula	Qualis nao identificado	Revista ACB (Florianópolis)
artigoEmPeriodico	2010		Leituras e ações na Encontros Bibli	Encontros Bibli	BLATTMANN, Ursula	C	
artigoEmPeriodico	2010	http://dx.doi.org/10.5007/1518-2924.2010v15n30pi	Recursos tecnológicos e informacionais ativos na Encontros Bibli	Encontros Bibli	Blattmann, Ursula; Rodrigues, Rosângela Schwarz ; Hillesheim, Araci Isaltina de Andrade	C	
artigoEmPeriodico	2010		Abertura do ano acadêmico de 2008	Revista da Academia de Letras da Bahia	BOAVENTURA, Edivaldo M	Qualis nao identificado	Revista da Academia de Letras da Bahia
artigoEmPeriodico	2010		Helena Parente Cunha, escritora baiana	Revista da Academia de Letras da Bahia	BOAVENTURA, Edivaldo M	Qualis nao identificado	Revista da Academia de Letras da Bahia
artigoEmPeriodico	2010		Saudação a Samuel Celestino	Revista da Academia de Letras da Bahia	BOAVENTURA, Edivaldo M	Qualis nao identificado	Revista da Academia de Letras da Bahia
artigoEmPeriodico	2010		Instituto Geográfico e Histórico da Bahia em 2010	Revista do Instituto Geográphico e Histórico da Bahia	BOAVENTURA, Edivaldo M	Qualis nao identificado	Revista do Instituto Geográphico e Histórico da Bahia
artigoEmPeriodico	2010		Breno Sander e a administração da Educação.	Revista do Instituto Genealógico da Bahia	BOAVENTURA, Edivaldo M	Qualis nao identificado	Revista do Instituto Genealógico da Bahia
artigoEmPeriodico	2010		O uso de linguagem documentária em catálogos coletivos de bibliotecas universitárias: um estudo de avaliação sociocognitiva com protocolo verbal	Perspectivas em Ciência da Informação (Impresso)	BOCCATO, Vera Regina Casari ; FUJITA, M. S. L.	C	
artigoEmPeriodico	2010		Estudio observacional del contexto sociocognitivo de la catalogación de matérias em bibliotecas universitárias	Scire (Zaragoza)	BOCCATO, Vera Regina Casari ; FUJITA, M. S. L. ; RUBI, M. P.	Qualis nao identificado	Scire (Zaragoza)
artigoEmPeriodico	2010		Aplicação da Metodologia do Balanced Scorecard no Sistema de Avaliação da Qualidade de uma Unidade Estratégica de Negócios	Revista Iberoamericana de Estratégia	BOFFI, S. A. N. O. ; OLIVEIRA, E. A. A. Q. ; CARNIELLO, M. F. ; SANTOS, V. S.	Qualis nao identificado	Revista Iberoamericana de Estratégia
artigoEmPeriodico	2010		Reformulação no modelo de gestão por competências na Volvo do Brasil	Administração de Empresas em Revista	BORA, T. ; CORAIOLA, D. M.	Qualis nao identificado	Administração de Empresas em Revista
artigoEmPeriodico	2010		Políticas Públicas para a organização de mercados de mão de obra livre no Brasil Colonial e Imperial	Gestão Pública: Práticas e Desafios	BRANDÃO, Sylvana	Qualis nao identificado	Gestão Pública: Práticas e Desafios
artigoEmPeriodico	2010		Historiography of Psychology in Brazil: pioneer works, recent developments	History of Psychology	CAMPOS, R. H. F. ; VILELA, Ana Maria Jacó ; MASSIMI, M.	Qualis nao identificado	History of Psychology
artigoEmPeriodico	2010		Perspectivas para a formação humanistica do estudante universitário no pensamento de Miguel Rolando Covian	Memorandum (Belo Horizonte)	CANDIDO, Marco ; MASSIMI, M.	Qualis nao identificado	Memorandum (Belo Horizonte)
artigoEmPeriodico	2010		Sala de imprensa virtual: uma ferramenta de comunicação corporativa	Gestão e Desenvolvimento (FEEVALE)	CARNIELLO, M. F	Qualis nao identificado	Gestão e Desenvolvimento (FEEVALE)
artigoEmPeriodico	2010		A percepção dos profissionais de comunicação do Vale do Paraíba sobre as mudanças decorrentes da digitalização das mídias	Revista Ceciliana	CARNIELLO, M. F	Qualis nao identificado	Revista Ceciliana
artigoEmPeriodico	2010		A URBANIZAÇÃOO E A CONSTRUÇÃO DO RURAL NO CINEMA DE MAZZAROPI	Revista Internacional de Folkcomunicação	CARNIELLO, M. F.; SANTOS, M. J.	Qualis nao identificado	Revista Internacional de Folkcomunicação
artigoEmPeriodico	2010		A CONTRIBUIÇÃO DO PROGRAMA DE AQUISIÇÃO DE ALIMENTOS (PAA) PARA A AGRICULTURA FAMILIAR DE RONDÔNIA	Sociedade e desenvolvimento rural	CARNIELLO, M. F.; VALNIER, A. ; RICCI, F.	Qualis nao identificado	Sociedade e desenvolvimento rural
artigoEmPeriodico	2010	http://dx.doi.org/10.1016/S1698-6989(10)70033-3	Costos y beneficios de una colonia: introducción a la fiscalidad colonial del Estado de Brasil, 1607 1808	Investigaciones de Historia Economica	CARRARA, ANGELO ALVES	Qualis nao identificado	Investigaciones de Historia Economica
artigoEmPeriodico	2010		Amoedação e oferta monetária em Minas Gerais: as Casas de Fundição e Moeda de Vila Rica	Varia História (UFMG. Impresso)	CARRARA, Angelo Alves	Qualis nao identificado	Varia História (UFMG. Impresso)
artigoEmPeriodico	2010		Por uma história comparada das estatísticas nas Américas (resenha)	Estudos Históricos (Rio de Janeiro)	CARRARA, Angelo Alves	Qualis nao identificado	Estudos Históricos (Rio de Janeiro)
artigoEmPeriodico	2010		Sedição e patrimônio; o destino dos bens confiscados aos sediciosos do movimento mineiro pela independência	Jornal de Resenhas	CARRARA, Angelo Alves	Qualis nao identificado	Jornal de Resenhas
artigoEmPeriodico	2010		Interação Humano-Computador e a Interface Gráfica dos Ambientes Virtuais de E-Gov	RESI : Revista Eletrônica de Sistemas de Informação	CARVALHO, Marisa ; ROVER, Aires José	B4	
artigoEmPeriodico	2010		Representação e descrição de recursos informacionais: aspectos estruturantes no delineamento de ambientes informacionais digitais	Tendências da Pesquisa Brasileira em Ciência da Informação	CASTRO, F. F. de ; SANTOS, P. L. V. A. C.	Qualis nao identificado	Tendências da Pesquisa Brasileira em Ciência da Informação
artigoEmPeriodico	2010	http://dx.doi.org/10.1504/IJMSO.2010.035551	Relating folksonomy with Dublin Core	International Journal of Metadata, Semantics and Ontologies (Print)	CATARINO, M. E.; BAPTISTA, A. A.	B3	International Journal of Metadata"," Semantics and Ontologies (Print)
artigoEmPeriodico	2010		A Guisa de Editorial (Editorial)	Informação & Informação (UEL. Online)	CERVANTES, BRÍGIDA MARIA NOGUEIRA	C	
artigoEmPeriodico	2010		O imaginário da década de 20 no cinema brasileiro	PontodeAcesso (UFBA)	CORDEIRO, Rosa Inês Novais de; TOUTAIN, L. M. B. B.	C	
artigoEmPeriodico	2010		Ambientes Virtuais de Ensino-Aprendizagem e Objetos Educacionais: o diálogo mediado por tecnologias na educação superior	Inter-ação (UFG. Impresso)	CORDENONSI, A. Z.; BERNARDI, Giliane	C	
artigoEmPeriodico	2010		A temática da Sexualidade no texto teatral censurado Vegetal Vigiado, de Nivalda Costa	Revista Litteris	CORÔA, W. S. ; Souza, D. ; SANTOS, R. B.	Qualis nao identificado	Revista Litteris
artigoEmPeriodico	2010		O uso de análise contextual de tarefas para a gestão da propriedade intelectual	Informação & informação (UEL. Online)	COSTA, E. S. ; CORDENONSI, A. Z. ; Siluk, J. C. M. ; MÜLLER, F. M.	C	Informação & Informação (UEL. Online)
artigoEmPeriodico	2010		APROXIMAÇÕES TEÓRICO-CONCEITUAL ENTRE AS CATEGORIAS DE RANGANATHAN, O	Tendências da Pesquisa Brasileira em Ciência da Informação	COSTA, L. S. F	Qualis nao identificado	Tendências da Pesquisa Brasileira em Ciência da Informação
artigoEmPeriodico	2010		Atuais desafios e perspectivas da Associação Nacional de Pesquisa e Pós-Graduação em Ciência da Informação (Ancib)	Ciência da Informação (Online)	COSTA, Luciana Ferreira da ; SILVA, Terezinha Elisabeth da ; SUAIDEN, Emir José ; GARCIA, J. C. R.	B4	
artigoEmPeriodico	2010		O arquivo de Tom Jobim, sua maior composição	Rivista di Studi Portoghesi e Brasiliani (Testo Stampato)	CRUZ, Gleise Andrade	Qualis nao identificado	Rivista di Studi Portoghesi e Brasiliani (Testo Stampato)
artigoEmPeriodico	2010		Documentação, Memória e Pesquisa: O CEDIC faz 30 anos	Projeto História (Online)	CRUZ; Tessitore, Viviane	Qualis nao identificado	Projeto História (Online)
artigoEmPeriodico	2010		An Analysis of the Record Music Industry Field in Brazil	Asia Pacific Journal of Arts & Cultural Management	DARBILLY, L. V. C. ; VIEIRA, M. M. F.	Qualis nao identificado	Asia Pacific Journal of Arts & Cultural Management
artigoEmPeriodico	2010		Subsídios para uma política de gestão da informação da Embrapa Solos - à luz do regime de informação	Perspectivas em Ciência da Informação (Impresso)	DELAIA, C. R. ; FREIRE, I. M.	C	
artigoEmPeriodico	2010		Novos tempos, novos desafios	Perspectivas em Ciência da Informação (Impresso)	DUMONT, L. M. M. ; NEVES, J.T.R. ; ARAUJO, C. A. A.	C	
artigoEmPeriodico	2010		Cemitérios Públicos em Pernambuco: Uma Análise da Política Pública de Secularização dos Sepultamentos em Pernambuco na Primeira República	Gestão Pública: Práticas e Desafios	FALK, Pedro Frederico ; CANÁRIO, Ezequiel David ; BRANDÃO, Sylvana ; MAGALHAES, R. V. B. M.	Qualis nao identificado	Gestão Pública: Práticas e Desafios
artigoEmPeriodico	2010		A inclusão da comunidade Santa Clara na sociedade da informação: proposta de trabalho	Revista Digital de Biblioteconomia e Ciência da Informação	FARIAS, M.G.G. ; FREIRE, I. M.	Qualis nao identificado	Revista Digital de Biblioteconomia e Ciência da Informação
artigoEmPeriodico	2010		Registro de conhecimentos da Comunidade Santa Clara no ciberespaço	Em Questão (UFRGS. Impresso)	FARIAS, M.G.G. ; FREIRE, I. M.	C	
artigoEmPeriodico	2010		Ancoras de carreira e transformações no modelo de administração: um estudo de caso do Tribunal de Contas da União (TCU)	Cadernos EBAPE.BR (FGV)	FARO, E. S. C. ; AMORIM, M. C. ; JUNQUEIRA, L. A. P. ; TREVISAN, Leonardo Nelmi	Qualis nao identificado	Cadernos EBAPE.BR (FGV)
artigoEmPeriodico	2010		O mal-estar citadino em Fernando Bonassi	Literatura em debate (URI)	FERNANDES, G. C. ; CARMO, Cláudio do	Qualis nao identificado	Literatura em debate (URI)
artigoEmPeriodico	2010	http://dx.doi.org/10.1177/0266666910376213	Library exceptions in the copyright laws of Ibero-American countries	Information Development	FERNANDEZ-MOLINA, J. C. ; GUIMARÃES, J.A.C.	Qualis nao identificado	Information Development
artigoEmPeriodico	2010		O conceito de autoria no Ocidente e seus reflexos na música	Revista Brasileira de Musica (Rio de Janeiro. 1934)	FIGUEIREDO, C. A	Qualis nao identificado	Revista Brasileira de Musica (Rio de Janeiro. 1934)
artigoEmPeriodico	2010		ANÁLISE DA APLICAÇÃO DO SOFTWARE SEPIADES PARA UM ACERVO FOTOGRÁFICO	Informação & informação (UEL. Online)	FLORES, D.; CORDENONSI, A. Z. ; FERREIRA, ROGÉRIO R.	C	Informação & Informação (UEL. Online)
artigoEmPeriodico	2010	http://dx.doi.org/10.1590/S1413-99362010000300012	Os Sistemas de Workflow em Arquivística: a identificação dos modelos e a análise das ferramentas	Perspectivas em Ciência da Informação (Impresso)	LAMPERT, Sérgio Renato; FLORES, D.	C	
artigoEmPeriodico	2010		Processo de edição do periódico secundário Pesquisa Brasileira em Ciência da Informação e Biblioteconomia	Biblionline (João Pessoa)	FREIRE, G. H. A. ; FREIRE, I. M. ; ARAUJO, V. M. R. H. ; BANDEIRA, P. M.	Qualis nao identificado	Biblionline (João Pessoa)
artigoEmPeriodico	2010		A utopia planetária de Pierre Levy	InCID: Revista de Ciência da Informação e Documentação	FREIRE, I. M	Qualis nao identificado	InCID: Revista de Ciência da Informação e Documentação
artigoEmPeriodico	2010		Reflexões sobre uma ética da informação na sociedade em rede	PontodeAcesso (UFBA)	FREIRE, I. M	C	
artigoEmPeriodico	2010		A responsabilidade social da Ciência da Informação: relato sobre a organização do X Encontro Nacional de Pesquisa em Ciência da Informação	Informação & Sociedade (UFPB. Impresso)	FREIRE, I. M. ; AZEVEDO NETTO, C. X. ; DUARTE, E. N. ; RAMALHO, F. A. ; DIAS, G. A. ; FREIRE, G. H. A.	C	
artigoEmPeriodico	2010		Revista Pesquisa Brasileira em Ciência da Informação e Biblioteconomia? PBCIB: um mapeamento temático da produção científica à luz da análise de conteúdo	Informação & informação (UEL. Online)	FREIRE, I. M.; SOUZA, A. P.	C	Informação & Informação (UEL. Online)
artigoEmPeriodico	2010		Mediação institucional e processo socioinformacional de monitoramento dos direitos da criança no sistema mundial	Datagramazero (Rio de Janeiro)	FROTA, Maria Guiomar da Cunha; NETO, Pedro Corone	C	
artigoEmPeriodico	2010		Fluxos informacionais para o monitoramento da Convenção dos Direitos da Criança: a atuação da rede NGO Group for CRC	Encontros Bibli	FROTA, Maria Guiomar da Cunha; Paula Gomes Quintão	C	
artigoEmPeriodico	2010	http://dx.doi.org/10.5007/1518-2924.2010v15n30p91	O contexto profissional do indexador no ensino de indexação	Encontros Bibli	FUJITA, M. S. L	C	
artigoEmPeriodico	2010		The indexing context for cataloging books using a sociocognitive approach	Brazilian journal of information science	FUJITA, M. S. L.; BOCCATO, Vera Regina Casari ; RUBI, Milena Polsineli	B1	Journal of Information Science
artigoEmPeriodico	2010		La práctica de la catalogación temática en perspectiva sociocognitiva.	Scire (Zaragoza)	FUJITA, M. S. L.; DAL´EVEDOVE, Paula Regina	Qualis nao identificado	Scire (Zaragoza)
artigoEmPeriodico	2010		Tecnologia	Revista do Instituto de Estudos Brasileiros	Galindo, Marcos	Qualis nao identificado	Revista do Instituto de Estudos Brasileiros
artigoEmPeriodico	2010		A mediação da informação nos arquivos permanentes: serviços de referência arquivística no ambiente digital.	Informação & Informação (UEL. Online)	GAMA, Fernando Alves da; FERNEDA, Edberto.	C	
artigoEmPeriodico	2010		Gestão da informação de alguns programas de pós-graduação	Datagramazero (Rio de Janeiro)	GARCIA, J. C. R.; TARGINO, M. G. ; NASCIMENTO, J. C.	C	
artigoEmPeriodico	2010	http://dx.doi.org/10.1590/S0100-19652010000100009	Atuais desafios e perspectivas da Associação Nacional de Pesquisa e Pós-Graduação em Ciência da Informação (Ancib)	Ciência da Informação (Impresso)	Garcia, Joana Coeli Ribeiro ; COSTA, Luciana Ferreira da ; SILVA, Terezinha Elisabeth da ; Suaiden, Emir José	C	Perspectivas em Ciência da Informação (Impresso)
artigoEmPeriodico	2010		E por falar em patrimônio cultural ... Experiências, vivências e prática sociais no ato de partejar	Revista Fronteiras do Sertão	GOMES, A. de O. ; CORDEIRO, F. L.	Qualis nao identificado	Revista Fronteiras do Sertão
artigoEmPeriodico	2010		Aventura cartográfica na cidade nascente	Revista do Arquivo Público Mineiro	GOMES, Maria do Carmo Andrade	C	Revista do Arquivo Publico Mineiro
artigoEmPeriodico	2010	http://dx.doi.org/10.1590/s0102-46982010000200009	Capital e interior: manifestações em prol da instrução pública em Ouro Preto e Uberabinha (MG) nos anos iniciais da República Brasileira	Educação em Revista (UFMG. Impresso)	GONCALVES NETO, Wenceslau	Qualis nao identificado	Educação em Revista (UFMG. Impresso)
artigoEmPeriodico	2010		Ambiente organizacional e instituições: a emergência do mercado no ensino superior brasileiro no período de 1970 a 2007.	Perspectivas Contemporâneas	GONÇALVES, S. A.; FERRO, V. R.	Qualis nao identificado	Perspectivas Contemporâneas
artigoEmPeriodico	2010	http://dx.doi.org/10.1590/S1679-39512010000300002	Articulações em Rede e Acontecimentos no Território: subsídios teóricos para formação de políticas públicas para o desenvolvimento	Cadernos EBAPE.BR (FGV)	GOULART, Sueli ; VIEIRA, M. M. F. ; COSTA, C. F. ; KNOPP, Glauco	Qualis nao identificado	Cadernos EBAPE.BR (FGV)
artigoEmPeriodico	2010		Açorianos no Rio Grande do Sul (sçeulo XVIII): convivência e resistência)	Rio Grande do Sul-Brasil-Décima Ilha Açoriana	GRAEBIN, Cleusa M. G	Qualis nao identificado	Rio Grande do Sul-Brasil-Décima Ilha Açoriana
artigoEmPeriodico	2010		Polícia e Ditadura Científica: as relações entre o chefe republicano Julio de Castilhos e o Chefe de Polícia Cherobin da Costa	Revista Brasileira de História & Ciências Sociais	GRAEBIN, Cleusa M. G.; PENNA, R.	Qualis nao identificado	Revista Brasileira de História & Ciências Sociais
artigoEmPeriodico	2010		A participação de usuários, trabalhadores e conselheiros de saúde: um estudo qualitativo.	Ciência e Saúde Coletiva (Impresso)	GRISOTTI, Marcia ; PATRICIO, Z. M. e KARNOPP PATRÍCIO, Z.M. ; SILVA, A. da	C	
artigoEmPeriodico	2010	http://dx.doi.org/10.1590/S1415-65552010000600007	Organizational Institutionalism in the Academic Field in Brazil: Social Dynamics and Networks	RAC. Revista de Administração Contemporânea (Impresso)	GUARIDO FILHO, E. R. ; MACHADO-DA-SILVA, C. L. ; GONÇALVES, S. A.	Qualis nao identificado	RAC. Revista de Administração Contemporânea (Impresso)
artigoEmPeriodico	2010		Ética en organización y representación del conocimiento: aspectos teóricos.	Nuovi Annali della Scuola Speciale per Archivisti e Bibliotecari	GUIMARÃES, J.A.C.; FERNANDEZ-MOLINA, J. C.	Qualis nao identificado	Nuovi Annali della Scuola Speciale per Archivisti e Bibliotecari
artigoEmPeriodico	2010		Análise documental: concepções do universo acadêmico brasileiro em Ciência da Informação	Datagramazero (Rio de Janeiro)	GUIMARÃES, J.A.C.; SALES, Rodrigo de	C	
artigoEmPeriodico	2010	http://dx.doi.org/10.1590/s1413-99362010000100004	Consumo de informação na revista Informação	Perspectivas em Ciência da Informação (Impresso)	GUSMÃO, ALEXANDRE OLIVEIRA DE MEIRA ; PINTO, ADILSON LUIZ ; GONZÁLEZ, JOSÉ ANTONIO MOREIRO ; FERNANDES, JOLIZA CHAGAS ; SILVA, RENATO JOSÉ DA	C	
artigoEmPeriodico	2010		Como o segredo de um cofre: reflexões acerca de uma personagem feminina em Osman Lins	Ângulo (FATEA. Impresso)	HAZIN, E. A. L	Qualis nao identificado	Ângulo (FATEA. Impresso)
artigoEmPeriodico	2010		O binômio viagem/escrita em Avalovara, de Osman Lins	Kalíope (PUCSP)	HAZIN, E. A. L	Qualis nao identificado	Kalíope (PUCSP)
artigoEmPeriodico	2010		Fundamentos da Preservação Documental no Brasil	Acervo (Rio de Janeiro)	HOLLÓS, A. C	Qualis nao identificado	Acervo (Rio de Janeiro)
artigoEmPeriodico	2010		Promoting the Earth Charter in São Paulo´s Municipal Education System	Journal of Education for Sustainable Development	INOJOSA, R. M	Qualis nao identificado	Journal of Education for Sustainable Development
artigoEmPeriodico	2010		A Teologia da Libertação e o Combate às Intolerâncias Político-Sociais	Scientiae Studia (USP)	IOKOI, Z. M. G	Qualis nao identificado	Scientiae Studia (USP)
artigoEmPeriodico	2010		Hábitos, rupturas e novas possibilidades de compartilhamento de informa;áo e de conhecimento	Informação & sociedade (UFPB. Online)	JORENTE, Maria José Vicentini ; SANTOS, P. L. V. A. C.	Qualis nao identificado	Informação & sociedade (UFPB. Online)
artigoEmPeriodico	2010		La presencia del deporte en el periodismo científico de los diarios en línea: una comparación entre Brasil y España	Líbero (FACASPER)	KAURIC, A ; GRAINO KNOBEL, S. ; PINTO, A. L.	Qualis nao identificado	Líbero (FACASPER)
artigoEmPeriodico	2010		Os corsários franceses do Brasil	Revista do Instituto Histórico e Geographico Brazileiro	KNAUSS, Paulo	Qualis nao identificado	Revista do Instituto Histórico e Geographico Brazileiro
artigoEmPeriodico	2010		A interpretação do Brasil na escultura pública: arte, memória e história	Revista do Instituto Histórico e Geographico Brazileiro	KNAUSS, Paulo	Qualis nao identificado	Revista do Instituto Histórico e Geographico Brazileiro
artigoEmPeriodico	2010		Patrimônio cultural e desenvolvimento científico no Brasil	Parcerias Estratégicas (Brasília)	KNAUSS, Paulo	Qualis nao identificado	Parcerias Estratégicas (Brasília)
artigoEmPeriodico	2010		A festa da imagem: a afirmação da escultura pública no Brasil do século XIX	19&20 (Rio de Janeiro)	KNAUSS, Paulo	Qualis nao identificado	19&20 (Rio de Janeiro)
artigoEmPeriodico	2010		A inauguração da estátua de José Bonifácio na visão de um correspondente estrangeiro, 7 de setembro de 1872	Revista do Instituto Histórico e Geographico Brazileiro	KNAUSS, Paulo; KRAAY, Hendrik	Qualis nao identificado	Revista do Instituto Histórico e Geographico Brazileiro
artigoEmPeriodico	2010		Correspondências	Correio da APPOA	KNIJNIK, L	Qualis nao identificado	Correio da APPOA
artigoEmPeriodico	2010		Os Sistemas de Workflow em Arquivística: a identificação dos modelos e a análise das ferramentas	PERSPECT CIENC INF	LAMPERT, S. R. ; FLORES, D.	Qualis nao identificado	PERSPECT CIENC INF
artigoEmPeriodico	2010		Os Sistemas de Workflow em Arquivística: a identificação dos modelos e a análise das ferramentas	PERSPECT CIENC INF	LAMPERT, S. R. ; FLORES, D.	Qualis nao identificado	PERSPECT CIENC INF
artigoEmPeriodico	2010	http://dx.doi.org/10.1590/S1413-99362010000300012	Os Sistemas de Workflow em Arquivística: a identificação dos modelos e a análise das ferramentas	Perspectivas em Ciência da Informação (Impresso)	LAMPERT, Sérgio Renato ; FLORES, D.	C	
artigoEmPeriodico	2010		Os Sistemas de Workflow em Arquivística: a identificação dos modelos e a análise das ferramentas	PERSPECT CIENC INF	LAMPERT, Sérgio Renato ; FLORES, D.	Qualis nao identificado	PERSPECT CIENC INF
artigoEmPeriodico	2010		Avaliação das Capacitações Docentes no Programa de Alfabetização de Crianças do Município de Resende, RJ	Meta: Avaliação	LEITE, S. C. ; ELLIOT, Ligia Gomes	Qualis nao identificado	Meta: Avaliação
artigoEmPeriodico	2010		Investigação da dependência da prática da canoagem em atletas da seleção brasileira	Motriz : Revista de Educação Física (Online)	LEMOS, Luiz Fernando Cuozzo ; TEIXEIRA, Clarissa Stefani ; LOPES, Luis Felipe Dias	Qualis nao identificado	Motriz : Revista de Educação Física (Online)
artigoEmPeriodico	2010		Da Matéria ao Sujeito: inquietação patrimonial brasileira	Revista de Antropologia (USP. Impresso)	LIMA FILHO, Manuel F	Qualis nao identificado	Revista de Antropologia (USP. Impresso)
artigoEmPeriodico	2010		Espelhos patrimoniais em Ouro Preto: museus e passado afro-brasileiro	Tomo (UFS)	LIMA FILHO, Manuel F	Qualis nao identificado	Tomo (UFS)
artigoEmPeriodico	2010		Crítica Textual e Arquivística literária: o texto teatral e o arquivo digital	Scripta Philologica	LIMA, Liliam Carine da. ; MACHADO JUNIOR, Alan Nunes ; FAGUNDES, C. C. R. ; SANTOS, R. B.	Qualis nao identificado	Scripta Philologica
artigoEmPeriodico	2010		A presença da tradição no modernismo brasileiro	Revista de letras (UNESP. Online)	LIMA, Maria Tereza	Qualis nao identificado	Revista de letras (UNESP. Online)
artigoEmPeriodico	2010		O rap como elemente desencadeador de informação e conhecimento	Informação & sociedade (UFPB. Online)	MACHADO, Elisa ; PRADO, G. M.	Qualis nao identificado	Informação & sociedade (UFPB. Online)
artigoEmPeriodico	2010		Organizational Institucionalism in the Academic Field in Brazil: Social Dynamics and Networks	RAC. Revista de Administração Contemporânea (Impresso)	MACHADO-DA-SILVA, C. L. ; GONÇALVES, S. A. ; Guarido Filho, E	Qualis nao identificado	RAC. Revista de Administração Contemporânea (Impresso)
artigoEmPeriodico	2010	http://dx.doi.org/10.1590/S1413-81232010000800002	Prevalência de fatores de risco e proteção de doenças crônicas não transmissíveis em adolescentes: resultados da Pesquisa Nacional de Saúde do Escolar (PeNSE), Brasil, 2009	Ciência e Saúde Coletiva (Impresso)	Malta, Deborah Carvalho ; Sardinha, Luciana Monteiro Vasconcelos ; Mendes, Isabel ; Barreto, Sandhi Maria ; Giatti, Luana ; Castro, Inês Rugani Ribeiro de ; Moura, Lenildo de ; Dias, Antonio José Ribeiro ; Crespo, Claudio	C	
artigoEmPeriodico	2010	http://dx.doi.org/10.1590/S1413-81232010000800011	Bullying nas escolas brasileiras: resultados da Pesquisa Nacional de Saúde do Escolar (PeNSE), 2009	Ciência e Saúde Coletiva (Impresso)	Malta, Deborah Carvalho ; Silva, Marta Angélica Iossi ; Mello, Flavia Carvalho Malta de ; Monteiro, Rosane Aparecida ; Sardinha, Luciana Monteiro Vasconcelos ; CRESPO, C. D. ; Carvalho, Mércia Gomes Oliveira de ; Silva, Marta Maria Alves da ; Porto, Denise Lopes	C	
artigoEmPeriodico	2010	http://dx.doi.org/10.1590/S1413-81232010000800010	Vivência de violência entre escolares brasileiros: resultados da Pesquisa Nacional de Saúde do Escolar (PeNSE)	Ciência e Saúde Coletiva (Impresso)	Malta, Deborah Carvalho ; Souza, Edinilsa Ramos de ; Silva, Marta Maria Alves da ; Silva, Carlos dos Santos ; Andreazzi, Marco Antonio Ratzsch de ; Crespo, Claudio ; Mascarenhas, Márcio Dênis Medeiros ; Porto, Denise Lopes ; Figueroa, Alba Lucy Giraldo ; Morais Neto, Otaliba Libânio de ; Penna, Gerson de Oliveira	C	
artigoEmPeriodico	2010		Knowledge Management Touchpoints: a Service Design Contribution to the Innovation Processes of Services	Touchpoint (Cologne)	MANHAES, M. C. ; VARVAKIS, G.	Qualis nao identificado	Touchpoint (Cologne)
artigoEmPeriodico	2010		Designing Services as a Knowledge Creation Process: Integrating the double diamond process and the SECI spiral	Touchpoint (Cologne)	MANHAES, M. C. ; VARVAKIS, G. ; VANZIN, T.	Qualis nao identificado	Touchpoint (Cologne)
artigoEmPeriodico	2010		Arquivos Públicos Brasileiros:estudo dos processos de transferência da informação na internet e sua evolução	Arquivo e Administração	MARIZ, A. C. A	Qualis nao identificado	Arquivo e Administração
artigoEmPeriodico	2010		Information, communication, territoires et identités: chemins de l'interculturalité juvénile au Brésil	Revista Româna de Comunicare si Relatii Publice	MARTELETO, R. M	Qualis nao identificado	Revista Româna de Comunicare si Relatii Publice
artigoEmPeriodico	2010		Redes sociais, mediação e apropriação de informações: situando campos, objetos e conceitos na pesquisa em Ciência da Informação	Tendências da Pesquisa Brasileira em Ciência da Informação	MARTELETO, R. M	Qualis nao identificado	Tendências da Pesquisa Brasileira em Ciência da Informação
artigoEmPeriodico	2010		La catalogación de matérias: apuntes históricos sobre su normalización.	Scire (Zaragoza)	MARTINHO, N. O. ; FUJITA, M. S. L.	Qualis nao identificado	Scire (Zaragoza)
artigoEmPeriodico	2010		D. João - Principe Regente e Rei. Um soberano e muitas controvérsias	Navigator (Rio de Janeiro)	MARTINS, Ismênia de Lima	Qualis nao identificado	Navigator (Rio de Janeiro)
artigoEmPeriodico	2010		El valor probatorio de los documentos contables electronicos en el ordenamiento jurídico brasileño	Ibersid (Zaragoza)	MARTINS, Rúbia	Qualis nao identificado	Ibersid (Zaragoza)
artigoEmPeriodico	2010		A pessoa e o seu conhecimento: algumas etapas significativas de um percurso	Memorandum (Belo Horizonte)	MASSIMI, M	Qualis nao identificado	Memorandum (Belo Horizonte)
artigoEmPeriodico	2010		Métodos de Investigação em História da Psicologia	Psicologia em pesquisa (UFJF)	MASSIMI, M	Qualis nao identificado	Psicologia em pesquisa (UFJF)
artigoEmPeriodico	2010		A memória ventre da alma	Revista Latinoamericana de Psicopatologia Fundamental (Impresso)	MASSIMI, M	Qualis nao identificado	Revista Latinoamericana de Psicopatologia Fundamental (Impresso)
artigoEmPeriodico	2010		Bibliotecas na educação a distância: caso do Consórcio Cederj	Informação & Sociedade (UFPB. Online)	MATTOS FILHA, M. F. ; CIANCONI, R. B.	Qualis nao identificado	Informação & Sociedade (UFPB. Online)
artigoEmPeriodico	2010		Periódicos eletrônicos sobre administração disponíveis no portal de periódicos da Coordenação de Aperfeiçoamento de Pessoal de Nível Superior: uma avaliação	Ciência da Informação (Impresso)	MATTOS, A. M. ; DIAS, E. W.	C	Perspectivas em Ciência da Informação (Impresso)
