artigoEmPeriodico	2018	http://dx.doi.org/10.22409/1807-5908.i76a129	ESTUDO DE CRITÉRIOS LOCACIONAIS COM VISTAS AO ESTABELECIMENTO DE VANTAGEM COMPETITIVA	SUSTAINABLE BUSINESS INTERNATIONAL JOURNAL	FONTANILLAS, CARLOS NAVARRO ; COSENZA, HARVEY ; MOURA, LUIS ; LEONARDO, IZABEL ; RODRIGUEZ Y RODRIGUEZ, MARTIUS VICENTE	Qualis nao identificado	SUSTAINABLE BUSINESS INTERNATIONAL JOURNAL
artigoEmPeriodico	2018		Análise das informações científicas utilizadas na gestão da informação das instituições de ensino superior segundo a literatura internacional	REVISTA DIGITAL DE BIBLIOTECONOMIA E CIÊNCIA DA INFORMAÇÃO	FORTUNATO, T. P. ; PINTO, A. L.	Qualis nao identificado	REVISTA DIGITAL DE BIBLIOTECONOMIA E CIÊNCIA DA INFORMAÇÃO
artigoEmPeriodico	2018	http://dx.doi.org/10.20952/revtee.v11i26.8850	O CINEMA COMO INOVAÇÃO PEDAGÓGICA: OS CINECLUBINHOS DA PROFESSORA ILKA LAURITO (1961-1964)	REVISTA TEMPOS E ESPAÇOS EM EDUCAÇÃO (ONLINE)	FRANCHINI, FERNANDA ; VIDAL, DIANA GONÇALVES	Qualis nao identificado	REVISTA TEMPOS E ESPAÇOS EM EDUCAÇÃO (ONLINE)
artigoEmPeriodico	2018		One small step (a law) for information, a giant leap for democracy: Brazilian archival legislation and its capacity to strengthen transitional justice	Comma: international journal on archives	FRANCO, S. C. ; RODRIGUES, GEORGETE MEDLEG	Qualis nao identificado	Comma: international journal on archives
artigoEmPeriodico	2018		Indícios da inteligência coletiva no regime de informação do Laboratório de Tecnologias Intelectuais ? LTi	Encontros Bibli (UFSC)	FREIRE, I. M	Qualis nao identificado	Encontros Bibli (UFSC)
artigoEmPeriodico	2018		A competência ética no contexto da inteligência coletiva	BRAZILIAN JOURNAL OF INFORMATION SCIENCE	FREIRE, I. M	B1	Journal of Information Science
artigoEmPeriodico	2018		Competências em informação: relato de pesquisas no Laboratório de Tecnologias Intelectuais	REVISTA FOLHA DE ROSTO	FREIRE, I. M	Qualis nao identificado	REVISTA FOLHA DE ROSTO
artigoEmPeriodico	2018		Rede de comunicação para aprendizagem no Laboratório de Tecnologias Intelectuais	REVISTA IBERO-AMERICANA DE CIÊNCIA DA INFORMAÇÃO	FREIRE, I. M. ; FREIRE, G. H. A. ; SANTOS, R. N. R.	Qualis nao identificado	REVISTA IBERO-AMERICANA DE CIÊNCIA DA INFORMAÇÃO
artigoEmPeriodico	2018		Construction and evaluation of hierarchical structures of indexing languages for online catalogs of libraries: an experience of the São Paulo State University (UNESP)	KNOWLEDGE ORGANIZATION	FUJITA, M. S. L.; MOREIRA, W. ; SANTOS, L. B. P. dos ; CRUZ, M. C. A. e ; RIBAS, R. R. de B	Qualis nao identificado	KNOWLEDGE ORGANIZATION
artigoEmPeriodico	2018		PERFIL E FORMAÇÃO DO PROFISSIONAL EM BIBLIOTECAS ESCOLARES NO BRASIL, ESPANHA E PORTUGAL	Informacao & Sociedade-Estudos	FUJITA, M. S. L.; TERRA, A. L. S. ; AGUSTIN LACRUZ, M. Del C.	Qualis nao identificado	Informacao & Sociedade-Estudos
artigoEmPeriodico	2018		Projetos de curadoria digital: um relato de experiências	Bibliotecas. Anales de Investigación	Galindo, Marcos; Siebra, S. A. ; TAVARES, Aureliana L. L. ; MIRANDA, M. K. F. O.	Qualis nao identificado	Bibliotecas. Anales de Investigación
artigoEmPeriodico	2018	http://dx.doi.org/10.11606/S1518-8787.2018052000418	Disseminating health evidence summaries to increase evidence use in health care	REVISTA DE SAÚDE PÚBLICA (ONLINE)	GALVAO, M. C. B. ; CARMONA, F. ; GRAD, R. M. ; PLUYE, PIERRE ; RICARTE, I. L. M.	Qualis nao identificado	REVISTA DE SAÚDE PÚBLICA (ONLINE)
artigoEmPeriodico	2018	http://dx.doi.org/10.19132/1808-5245241.12-40	O vocabulário controlado do Governo Eletrônico: contribuições e limites na implementação da Lei de Acesso à Informação no Brasil	EM QUESTÃO	GAMA, J. R. ; RODRIGUES, G. M.	Qualis nao identificado	EM QUESTÃO
artigoEmPeriodico	2018		Cultura escolar e disciplina na formação de professores: a Escola Normal de Montes Claros (1888-1903)	Revista de Educação Pública	GONCALVES NETO, Wenceslau; CARVALHO, C. H. de	Qualis nao identificado	Revista de Educação Pública
